Campus,Account Amount,Bilingual Spending
15915108,5865401,110453.0
15915109,6954811,
15915111,5986172,
15915112,4974321,
15915113,4727359,
15915114,6917744,69464.0
15915115,6765626,65318.0
15915116,7866598,118397.0
15915117,6219070,
15915118,5770641,
15915119,6341207,100144.0
15915122,6777719,70705.0
15915123,6174973,13625.0
15915124,5225309,108206.0
15915125,5672813,
15915128,6857221,49313.0
15915130,6598281,
15915131,4965202,
15915132,5445334,
15915133,1680878,
15915134,6958287,
15915135,6627339,41300.0
15915136,6939500,43346.0
15915138,6110873,75063.0
15915141,6755185,101088.0
15915143,5128657,74.0
15915144,4872481,
15915145,3957185,74.0
15915148,7672443,87199.0
15915149,5566115,28603.0
15915150,4959006,
15915151,4891874,13535.0
15915152,4248100,
15915156,7216935,12176.0
15915157,4887605,80356.0
15915158,7476562,160785.0
15915160,5794248,80600.0
15915161,4398533,14149.0
15915162,5708050,
15915165,5717119,
15915166,5611619,64197.0
15915167,5945022,39862.0
15915168,6105070,
15915169,5061344,
15915170,5217968,5875.0
15915171,5331556,45146.0
15915172,180626,
15915177,5485030,23260.0
15915178,5437022,
15915179,7488601,147.0
15915180,5510763,
15915181,4553214,
15915182,5110124,
15915183,6449496,58809.0
15915184,6130883,15881.0
15915185,7000825,68906.0
15915186,5647903,74.0
15915187,4854826,77594.0
15915188,7370143,
15915189,5979825,69608.0
15915191,5612344,
15915192,6603795,
15915193,5880908,
15915195,6545203,19411.0
15915198,5303337,74241.0
15915223,7575326,32482.0
15915224,4264275,62806.0
15915225,5308630,
15915226,7384414,52360.0
15915227,7165912,
15915228,7447289,60427.0
15915230,2884323,
15915231,11908003,
15915234,5426027,68084.0
15915235,20947851,
15915236,4708642,31152.0
15915250,177980,3482.0
15915699,3532660,429987.0
15915701,1403369,
15915702,64980,
15915703,3763052,
15915750,14007708,
15915751,1039061,
15915999,327023774,729200.0
15916000,437058948,
15916001,22126348,9865.0
15916003,774948,
15916005,3367913,583.0
15916008,18101931,6888.0
15916009,2440287,
15916010,32738348,5136.0
15916041,14495214,6469.0
15916042,17721997,5869.0
15916043,6887715,9593.0
15916044,8411745,7632.0
15916045,9495700,6069.0
15916101,5401401,275.0
15916102,5804324,83186.0
15916103,3104576,
15916104,3155910,87048.0
15916105,5733979,
15916106,4173702,73777.0
15916107,5559791,
15916109,4287073,2175.0
15916110,6104610,91658.0
15916111,5754946,
15916112,4871727,50917.0
15916113,3951099,
15916114,4824768,42488.0
15916115,5433430,110828.0
15916116,4830976,2400.0
15916117,3311334,
15916118,4867884,
15916119,4684640,
15916123,3912068,
15916124,3304193,22794.0
15916699,170504,8212.0
15916701,372195,
15916702,119441,
15916703,716571,
15916750,3481889,
15916999,89153425,99678.0
15917000,115565962,
15917001,12385014,82.0
15917002,375053,
15917003,679,
15917041,6180990,4236.0
15917043,5142289,5331.0
15917102,3390944,83964.0
15917104,3537502,96228.0
15917105,4050957,81956.0
15917106,4068025,87181.0
15917107,5085854,86215.0
15917699,494117,
15917701,545075,
15917702,171032,
15917703,162768,
15917750,2210141,
15917998,1990597,
15917999,26462570,83508.0
16901000,25343007,
16901001,2117958,
16901041,1517813,163.0
16901101,1865469,
16901701,228430,
16901702,14667,
16901703,207561,
16901750,132556,
16901999,9810685,22476.0
16902000,27302684,
16902001,3310684,11057.0
16902041,2144324,
16902101,3562515,41673.0
16902699,8355,
16902701,199978,
16902702,27110,
16902703,217588,
16902750,300662,
16902999,5757997,
17901000,32201343,
17901001,5281337,1872.0
17901701,265347,
17901702,16112,
17901703,199452,
17901750,233810,
17901751,268880,
17901999,11331206,
18901000,21295137,
18901001,3067256,119.0
18901041,1936151,119.0
18901101,3724629,31375.0
18901701,154186,
18901702,14698,
18901703,135246,
18901750,260666,
18901999,4312052,12192.0
18902000,12842385,
18902001,2533362,240.0
18902101,1924468,37868.0
18902701,245277,
18902702,5571,
18902750,82019,
18902751,1211626,
18902999,2202248,
18903000,3891488,
18903001,1883547,1051.0
18903701,132496,
18903702,3351,
18903703,12148,
18903999,116751,
18904000,12295269,
18904001,3096137,3782.0
18904041,621166,
18904101,2451809,11386.0
18904701,396877,
18904702,9688,
18904703,48967,
18904750,175531,
18904999,2041741,
18905000,4337656,
18905003,2073483,998.0
18905701,183275,
18905702,330,
18905703,19279,
18905750,41093,
18905999,258206,
18906000,3923804,
18906001,2074997,
18906701,120386,
18906702,3500,
18906703,29621,
18906750,13700,
18906999,37472,
18907000,4011599,
18907001,2201524,528.0
18907701,120394,
18907702,10133,
18907703,28511,
18907750,147597,
18907999,381623,28.0
18908000,2704888,
18908001,2046322,2452.0
18908701,154759,
18908702,1031,
18908703,20039,
18908750,23533,
18908999,84005,
19901000,12609917,
19901001,2767265,558.0
19901041,2100241,1387.0
19901102,2433149,19167.0
19901701,184835,
19901702,12161,
19901703,40478,
19901750,353756,
19901751,22720,
19901999,2609899,
19902000,18616225,
19902002,4728185,2472.0
19902041,2711865,570.0
19902102,2680581,11430.0
19902699,4096,
19902701,138072,
19902702,2871,
19902703,33715,
19902720,246220,
19902750,371546,
19902999,1734572,
19903000,11190687,
19903001,4559935,50.0
19903701,144582,
19903702,8187,
19903703,11297,
19903750,223412,
19903999,1391035,
19905000,31373415,
19905001,3825780,
19905041,2425816,
19905101,4518259,9241.0
19905701,218379,
19905702,6249,
19905703,92260,
19905720,674,
19905750,499101,
19905751,3485022,
19905999,3415958,1300.0
19906000,23895254,
19906001,9308415,550.0
19906041,1655459,
19906101,2699837,4440.0
19906102,2002501,
19906699,13714,
19906701,310455,
19906702,1543,
19906703,54298,
19906750,243917,
19906999,1087434,
19907000,146603276,
19907002,17237054,101783.0
19907003,644493,
19907006,11027016,22403.0
19907042,11982831,249279.0
19907105,2728434,49976.0
19907107,3828792,19821.0
19907108,5349197,59303.0
19907109,4108087,45323.0
19907111,3069581,27642.0
19907113,5370737,36761.0
19907115,2459955,19554.0
