Campus Number,Bilingual Spending,Account Amount,2020 EL Denominator,2020 All Students Denominator,Percentage Bilingual Spending,2020 EL Pop Percent
15910001,137721.0,38486337.0,113.0,676.0,0.003578438758669083,0.16715976331360946
15910002,,20454196.0,32.0,580.0,,0.05517241379310345
15910003,,22246120.0,35.0,629.0,,0.05564387917329094
15910004,31381.0,23049025.0,88.0,683.0,0.0013614892603917086,0.12884333821376281
15910005,743.0,26135990.0,25.0,753.0,2.8428232487080077e-05,0.033200531208499334
15910007,,24899885.0,12.0,807.0,,0.01486988847583643
15910008,,1783714.0,,154.0,,
15910009,,2765509.0,,120.0,,
15910012,,2731080.0,,,,
15910014,109759.0,21440785.0,20.0,738.0,0.005119168911026345,0.02710027100271003
15910022,,153782.0,,,,
15910041,31347.0,8677398.0,,,0.0036124884441165427,
15910042,47939.0,10123301.0,,,0.0047355106797673996,
15910043,,15567783.0,,,,
15910044,31527.0,17068113.0,,,0.0018471286193148593,
15910045,127566.0,9296561.0,,,0.013721848326494066,
15910046,6862.0,9710570.0,,,0.0007066526475788754,
15910047,8490.0,7834544.0,,,0.0010836623037664987,
15910048,30176.0,9076203.0,,,0.003324738329453407,
15910049,,6805025.0,,,,
15910050,,7966227.0,,,,
15910053,,1601024.0,,,,
15910054,,,,,,
15910056,67.0,8009461.0,,,8.365107215079766e-06,
15910057,,8827295.0,,,,
15910058,,8181362.0,,,,
15910059,,7873204.0,,,,
15910101,,5109480.0,,,,
15910102,205941.0,6464214.0,,,0.03185862968026739,
15910103,222628.0,6457122.0,,,0.03447789897728431,
15910104,,4262791.0,,,,
15910105,201366.0,6580374.0,,,0.030600996235168397,
15910106,,5371884.0,,,,
15910107,214383.0,6764603.0,,,0.031691881992187865,
15910108,205043.0,7237236.0,,,0.028331672478277618,
15910109,,4218830.0,,,,
15910110,6399.0,4454151.0,,,0.0014366374197911118,
15910111,201670.0,5691943.0,,,0.03543078347762794,
